Node_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249
10,27,26,23,16,15,12,26,22,13,13,0,20,16,10,10,14,24,20,27,19,18,9,7,24,18,17,15,24,13,10,25,18,25,8,19,29,15,25,19,30,26,51,23,22,17,36,31,32,33,30,31,32,34,36,34,33,35,36,31,29,32,30,37,37,37,36,42,33,30,30,29,26,28,20,33,25,16,18,29,26,33,41,19,28,28,26,26,25,26,21,29,29,30,32,32,31,21,22,23,35,35,36,38,38,39,40,39,37,35,34,37,28,30,34,18,20,34,27,36,32,18,23,35,35,38,42,41,26,33,25,34,35,36,37,38,37,36,44,31,39,43,39,39,19,23,36,43,46,25,40,42,43,42,43,44,44,28,38,38,28,32,23,29,33,39,37,45,30,28,29,27,28,30,29,30,29,29,29,29,28,27,41,28,29,30,30,31,31,42,32,33,34,32,31,31,35,33,23,15,28,32,28,27,44,28,31,42,33,21,22,16,27,23,22,30,33,19,25,24,49,32,34,36,33,36,33,39,36,31,32,32,44,40,33,34,34,36,28,19,30,45,45,44,24,32,31,25,27,30,28
11,9,8,6,6,7,8,9,4,8,10,20,0,8,13,11,6,5,3,7,4,5,25,18,6,2,6,7,5,6,10,7,4,6,21,9,45,28,32,26,46,23,57,23,17,11,50,21,20,14,10,11,13,14,17,15,14,16,17,12,10,13,12,23,24,23,23,32,20,19,45,29,38,34,6,48,34,13,18,18,14,24,34,27,10,11,9,10,10,12,6,17,16,20,20,19,20,8,10,12,21,22,22,23,23,24,24,23,23,21,20,25,19,28,26,10,10,17,16,25,16,20,8,23,20,32,37,28,14,18,11,20,20,21,22,22,21,21,37,13,25,35,41,30,16,13,19,36,35,18,27,34,35,34,35,35,36,22,36,23,16,26,10,13,15,24,37,36,33,12,14,11,13,14,14,16,15,15,15,14,14,12,25,15,16,17,16,17,18,24,17,19,18,17,16,15,19,17,38,32,13,19,14,14,31,13,18,30,26,2,3,4,7,4,2,13,19,14,27,27,56,42,21,22,23,25,25,21,18,19,23,24,30,21,24,25,26,28,20,23,33,37,36,36,9,18,15,12,15,17,13
12,12,12,8,10,2,10,10,8,4,3,16,8,0,7,5,4,11,11,14,5,3,18,12,13,7,2,2,10,6,6,10,10,11,20,15,44,28,35,28,45,29,61,28,23,15,50,29,28,19,15,17,17,20,23,21,22,24,24,20,14,16,15,21,22,21,21,28,18,15,45,34,39,37,13,48,36,17,22,14,10,19,29,19,13,12,10,10,9,11,6,14,13,16,17,16,16,5,6,8,19,20,21,22,22,23,24,23,22,20,18,22,14,21,21,4,5,18,12,21,16,12,7,20,19,27,31,26,11,17,9,19,20,20,22,22,21,20,32,16,23,30,33,26,9,8,20,31,31,12,25,30,30,29,30,31,31,16,29,22,13,20,8,14,17,23,30,32,26,12,13,12,13,14,13,14,14,13,13,13,12,11,33,13,14,15,14,15,16,32,16,17,18,17,15,15,19,17,37,30,12,16,12,11,29,12,16,28,33,7,9,5,13,11,10,21,27,19,31,30,60,44,29,30,30,33,32,29,26,27,30,31,38,29,31,32,33,35,27,26,38,32,32,31,9,17,15,9,12,15,12
13,19,18,15,12,7,11,17,15,5,4,10,13,7,0,3,8,17,16,21,12,10,12,5,19,12,9,6,16,8,5,17,13,18,15,17,39,23,32,26,40,29,58,27,24,17,45,31,31,26,22,24,24,27,30,28,28,30,30,26,21,23,22,27,28,27,27,32,24,20,40,33,35,35,16,43,33,17,21,19,16,23,32,15,20,19,17,17,16,17,13,20,19,21,22,22,21,12,13,14,25,26,27,28,28,29,30,29,28,26,24,28,19,21,24,9,11,25,17,26,22,10,14,26,25,29,34,31,17,23,16,25,26,27,28,28,27,27,35,23,29,34,32,30,10,13,27,34,36,15,30,33,33,33,34,34,35,19,30,29,18,23,14,21,24,29,30,36,24,18,19,18,19,20,20,21,20,19,20,19,19,18,38,19,20,20,20,21,22,37,22,24,24,23,22,22,26,24,32,25,18,22,18,18,34,19,21,32,35,14,15,10,20,17,16,26,31,20,30,29,57,40,33,34,33,36,34,34,32,30,33,33,42,35,34,35,35,37,29,24,36,36,35,35,16,23,22,16,17,20,18
14,17,16,13,10,5,8,15,13,2,3,10,11,5,3,0,5,15,13,18,10,8,14,7,16,9,7,4,14,5,3,15,11,15,15,15,39,23,31,24,40,27,57,25,21,14,45,29,28,24,20,22,22,25,27,25,25,27,27,23,19,21,20,27,27,27,26,32,23,20,40,31,34,34,13,43,32,15,19,19,16,24,33,17,18,18,16,16,14,16,11,19,18,21,22,22,21,11,12,13,24,25,26,28,28,28,29,28,27,25,24,27,19,23,25,8,10,23,17,26,21,13,13,25,24,30,35,31,16,22,15,24,25,26,27,28,26,26,36,21,29,35,34,30,11,13,25,35,36,16,30,34,34,34,34,35,35,20,31,28,18,24,13,19,22,28,32,36,26,17,18,17,18,19,19,20,19,18,19,18,18,16,35,18,19,20,20,21,21,35,21,23,23,22,21,21,25,23,32,25,17,22,17,17,34,18,21,32,32,11,13,7,18,14,13,23,28,17,28,27,56,39,30,31,30,33,32,32,29,27,30,30,39,32,31,32,32,34,26,22,34,36,36,36,14,22,21,15,17,20,17
15,13,12,9,6,2,6,11,8,3,4,14,6,4,8,5,0,10,8,13,5,4,19,12,11,4,4,2,9,2,4,11,6,11,17,11,42,24,31,25,43,25,57,24,19,11,47,25,24,19,15,17,17,20,22,20,20,22,22,18,15,17,16,24,25,24,24,32,21,19,42,30,36,34,9,45,32,13,18,18,14,23,33,21,14,14,12,12,11,13,7,17,16,20,21,20,20,8,9,11,22,23,24,25,25,26,27,26,24,23,21,26,18,25,25,8,9,20,15,25,18,15,9,24,22,31,35,29,14,20,12,22,22,23,24,25,24,23,36,17,26,34,37,29,12,12,22,35,35,16,28,33,34,33,34,35,35,20,33,25,16,24,10,16,18,26,34,36,29,14,15,14,15,16,16,17,17,16,16,16,15,13,31,16,17,18,17,18,19,30,19,20,20,19,18,17,22,19,35,28,15,20,15,14,32,15,19,31,29,6,8,2,13,10,8,19,24,15,27,26,56,40,26,27,27,29,28,27,24,24,26,27,35,27,27,28,29,31,23,22,34,36,36,35,11,20,17,12,15,18,15
16,5,3,5,10,10,13,6,3,12,13,24,5,11,17,15,10,0,6,4,6,8,29,22,4,7,9,11,2,11,14,4,8,2,25,12,50,32,36,30,51,26,61,27,20,14,55,22,20,9,6,7,8,10,12,10,11,13,13,9,6,9,7,20,21,20,20,30,18,17,49,32,43,38,9,53,38,17,21,17,13,22,33,30,7,8,7,8,8,11,7,15,14,19,18,17,18,8,10,11,19,19,19,20,20,21,21,20,19,18,17,22,18,28,25,12,11,13,15,23,13,22,7,20,17,31,36,25,12,15,9,17,17,18,19,18,18,18,35,9,22,33,41,28,18,13,16,35,32,18,25,33,34,32,33,34,34,22,35,20,15,26,9,9,11,20,38,34,35,10,11,8,10,11,12,13,13,13,13,12,12,10,23,13,14,15,14,14,15,21,14,16,15,13,13,12,16,13,43,37,11,17,12,12,28,11,16,28,28,4,2,8,3,2,3,12,18,17,30,30,60,46,22,21,23,25,26,18,16,20,23,25,29,18,24,25,26,29,22,27,37,35,35,34,7,16,11,11,13,16,11
17,11,10,9,5,9,8,11,7,11,12,20,3,11,16,13,8,6,0,7,7,8,27,20,4,4,10,10,7,8,11,10,3,8,20,6,44,26,30,24,45,20,55,21,14,8,49,18,17,15,12,11,14,15,16,14,13,14,16,11,12,15,13,26,26,26,25,35,23,22,43,26,37,32,3,47,32,11,15,21,18,27,37,30,13,14,12,13,13,15,10,20,19,23,24,23,23,11,13,15,24,24,25,26,26,27,27,26,25,24,23,28,22,31,29,14,14,19,19,28,19,23,11,26,23,35,40,31,17,21,14,23,23,24,25,25,24,24,40,16,28,38,44,33,19,17,22,39,38,21,30,38,38,37,38,39,39,26,39,26,19,30,13,15,17,26,40,39,37,15,16,14,16,17,17,18,18,18,18,17,17,15,22,18,19,20,19,20,21,22,20,22,21,19,19,18,22,19,37,32,16,22,17,17,34,16,21,34,23,6,6,6,9,4,3,11,16,11,24,24,54,40,18,19,20,22,22,19,16,16,19,20,27,20,20,21,22,24,17,20,31,40,40,39,12,21,17,15,18,21,16
18,7,5,8,12,14,15,8,7,16,17,27,7,14,21,18,13,4,7,0,9,11,32,25,3,9,13,14,5,14,17,7,10,4,27,12,51,34,36,31,52,26,61,27,20,15,56,21,18,8,5,4,7,7,9,7,7,10,9,6,7,9,7,21,22,22,21,32,20,19,50,32,44,38,9,54,39,18,22,19,16,25,35,33,9,10,9,11,11,13,10,17,17,21,21,20,21,11,13,15,20,20,20,21,21,22,22,21,21,20,19,24,21,31,28,16,14,14,18,25,15,26,10,22,18,34,38,26,15,17,12,19,19,19,20,19,18,19,37,10,24,35,45,30,21,17,16,37,34,21,26,35,36,34,36,36,37,25,38,21,17,29,12,11,12,21,41,36,38,12,13,11,12,13,14,15,15,15,15,14,14,12,19,16,16,17,16,16,17,17,16,17,17,15,15,14,17,14,44,39,13,19,15,15,30,13,18,30,26,7,6,11,3,4,5,9,16,17,30,30,59,47,19,18,21,23,24,14,12,18,21,23,26,14,22,23,24,27,21,27,36,37,37,36,10,18,12,14,16,18,14
19,8,7,4,8,5,10,7,3,7,7,19,4,5,12,10,5,6,7,9,0,2,23,16,8,4,3,5,5,6,9,6,7,6,22,12,46,29,34,28,48,27,60,26,21,13,52,25,23,14,10,12,13,15,18,16,16,19,18,15,10,12,11,20,21,20,20,29,17,15,46,33,40,37,9,50,36,16,21,15,11,20,31,24,9,9,7,8,7,9,3,14,13,17,17,16,16,4,6,8,18,19,19,21,21,21,22,21,20,19,17,22,16,24,23,7,7,15,13,22,14,17,5,20,17,29,33,25,10,15,8,17,18,19,20,20,19,19,33,12,22,31,37,26,13,10,17,33,32,14,24,31,32,31,32,32,33,19,32,21,13,23,6,11,14,21,34,33,30,10,11,9,10,12,12,13,13,12,12,11,11,9,28,12,13,14,13,14,15,26,14,16,16,14,14,13,17,15,39,33,10,16,11,11,28,11,15,28,30,2,3,4,8,6,5,16,22,17,30,29,59,44,25,25,26,29,29,23,21,23,26,27,33,23,27,28,29,31,24,25,36,33,33,33,6,16,13,9,11,14,11
20,9,9,5,8,3,9,8,5,5,6,18,5,3,10,8,4,8,8,11,2,0,21,14,10,4,2,3,6,5,8,7,7,8,20,13,45,28,34,28,46,27,60,26,21,14,51,26,25,16,12,14,14,17,20,18,18,20,20,17,11,14,13,21,22,21,20,28,18,15,45,33,39,37,10,49,36,16,21,15,11,20,30,22,10,11,8,9,8,10,4,14,13,17,17,16,16,4,6,8,19,19,20,21,21,22,23,22,21,19,18,22,15,23,22,6,6,16,12,22,15,15,6,20,18,28,33,26,11,16,8,18,19,20,21,21,20,20,33,14,23,31,36,26,11,9,18,32,32,13,25,31,31,30,31,32,32,18,31,21,13,22,7,12,15,22,32,33,28,10,12,10,11,12,12,14,13,12,13,12,12,10,30,12,13,14,14,15,15,28,15,17,17,15,14,14,18,16,38,32,11,16,11,11,29,11,16,28,31,4,5,3,10,8,7,18,24,17,30,29,59,44,26,27,28,30,30,25,23,24,27,28,35,25,28,29,30,32,25,25,36,33,33,32,7,16,14,9,11,15,11
21,30,30,26,23,19,20,28,26,16,16,9,25,18,12,14,19,29,27,32,23,21,0,7,30,23,20,18,28,19,15,28,24,29,17,27,34,22,34,28,35,35,59,32,31,25,41,40,40,37,34,35,36,39,41,39,39,41,41,37,32,35,34,37,37,36,36,39,33,29,36,38,34,37,27,38,33,25,27,28,26,31,37,11,31,30,28,28,27,27,24,29,29,29,31,31,29,24,24,24,34,35,36,38,38,39,40,39,37,35,34,36,27,24,30,19,22,35,26,34,33,14,25,34,35,34,38,40,27,33,27,34,36,36,38,39,38,37,40,34,38,40,31,37,18,23,37,39,43,23,38,38,39,39,39,40,40,25,32,38,28,28,25,32,35,39,30,42,22,29,30,29,30,31,30,31,30,29,30,30,29,28,49,29,30,30,30,31,31,49,32,33,34,34,32,32,36,34,28,20,29,31,28,28,42,29,31,40,43,25,27,21,31,29,27,37,41,28,35,33,57,39,42,44,42,45,42,45,43,40,41,41,52,46,42,43,43,45,36,28,40,41,41,41,27,32,33,26,27,30,29
22,23,23,20,16,11,13,22,19,9,9,7,18,12,5,7,12,22,20,25,16,14,7,0,23,16,13,11,21,12,9,21,17,22,14,20,36,21,32,25,37,30,57,28,26,19,42,34,34,30,27,28,29,32,34,32,32,34,34,30,25,28,27,31,32,31,30,35,27,24,37,34,33,34,20,40,31,19,23,23,20,27,34,13,24,24,22,21,20,21,17,24,23,24,26,26,25,17,17,18,29,30,31,32,32,33,34,34,32,30,28,31,22,23,27,13,15,29,21,30,27,12,19,30,29,32,36,35,21,27,20,29,30,31,32,33,32,31,37,27,33,37,32,33,13,17,31,36,39,18,33,35,36,35,36,37,37,22,31,33,22,25,19,25,28,33,30,39,23,23,24,23,24,25,24,25,24,23,24,24,23,22,42,23,24,25,25,25,26,42,26,28,28,27,26,26,30,28,29,21,23,26,22,22,37,23,25,36,37,18,20,14,24,21,20,30,34,22,31,29,56,39,36,37,36,39,37,38,36,33,35,35,46,39,36,37,38,39,31,25,36,38,38,38,20,27,27,20,21,24,23
23,9,7,9,9,12,12,10,7,14,15,24,6,13,19,16,11,4,4,3,8,10,30,23,0,7,12,13,6,11,15,9,7,6,24,9,48,31,33,27,49,23,58,23,17,12,53,18,16,11,8,7,10,10,12,10,9,11,11,7,10,12,10,24,25,24,24,34,22,21,47,29,40,35,6,51,36,14,19,21,17,27,37,32,11,12,11,12,12,15,10,19,18,23,23,21,22,12,14,15,23,23,23,24,24,24,25,23,23,22,21,26,22,32,29,15,15,16,19,27,17,25,11,25,21,35,40,29,16,19,13,21,21,22,22,22,21,22,39,13,26,37,45,32,21,17,19,39,36,22,29,37,38,36,37,38,38,26,39,23,19,30,13,13,14,24,41,38,38,14,15,13,14,15,16,17,17,17,17,16,16,14,20,17,18,19,18,18,19,18,18,20,19,17,17,16,19,17,41,36,15,21,17,16,32,15,20,32,24,6,6,9,5,3,4,8,14,14,27,27,56,43,17,17,19,21,22,15,13,16,19,21,25,16,20,21,22,25,18,24,33,39,39,38,11,20,15,15,17,20,15
24,11,9,8,4,5,7,10,6,7,8,18,2,7,12,9,4,7,4,9,4,4,23,16,7,0,6,6,7,4,8,9,3,8,19,8,43,26,31,24,44,23,56,22,17,10,49,22,21,16,12,13,14,16,19,17,16,18,18,14,12,15,14,24,25,24,24,32,21,19,43,29,37,33,6,47,33,12,17,19,15,24,34,26,12,13,11,12,11,13,7,17,17,21,21,20,20,8,10,12,22,23,23,25,24,25,26,25,24,22,21,26,19,27,26,10,10,18,16,26,18,19,9,24,21,32,37,29,14,19,12,21,22,23,23,24,23,22,37,15,26,35,40,30,16,14,21,36,35,18,28,35,36,34,35,36,37,22,35,24,17,26,10,14,17,25,37,37,33,13,15,12,14,15,16,17,16,16,16,15,15,13,26,16,17,18,17,18,19,26,18,20,20,18,17,17,21,18,36,30,14,20,15,15,32,14,19,31,26,4,5,2,9,6,4,14,20,13,26,25,55,40,22,23,23,26,25,22,20,20,23,24,31,23,24,25,26,28,20,22,32,37,37,36,10,20,16,13,15,18,14
